IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
[::1]:56282,/get,GET,0,21,200,2024-06-13T14:16:15+01:00,47.094µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52004,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,41.315µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52020,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,11.958µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52052,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,14.19µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52044,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,11.58µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52028,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,12.635µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52098,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.126µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52074,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.033µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52104,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,11.485µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52072,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.026µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52064,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,11.819µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52084,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,13.902µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52122,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,5.597µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52116,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,12.421µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52146,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.903µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52134,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.944µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52148,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.155µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52150,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.994µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52164,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.141µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52176,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.214µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52188,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.827µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52186,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.332µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52198,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.749µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52220,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.872µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52204,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,8.898µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52222,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,6.428µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52230,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,7.467µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52242,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,7.712µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52254,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,4.766µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52238,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,6.982µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52224,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,6.901µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
127.0.0.1:52260,/get,GET,0,21,200,2024-06-14T12:01:45+01:00,9.064µs
IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
